policy,episode,total_reward,final_cognitive_metric,cognitive_metric_change,episode_length
PPO,0,33.071925364338526,1.9171229600906372,1.403122901916504,22
PPO,1,21.996417057068918,0.9212289452552795,0.9332289695739746,22
PPO,2,-1.8034200960376952,-0.8165126442909241,-0.07651263475418091,22
PPO,3,-6.464789891700105,-2.01027774810791,-0.27427780628204346,22
PPO,4,-10.798195390569948,-0.4491286277770996,-0.4581286311149597,3
PPO,5,-27.833950153778364,1.906105399131775,-1.1808944940567017,22
PPO,6,-36.541177169450094,-2.093310832977295,-1.5503108501434326,22
PPO,7,3.6768204681191397,0.21399427950382233,0.15599428117275238,13
PPO,8,10.50414337005155,0.045653052628040314,0.4456530511379242,22
PPO,9,-9.181647396354803,-0.9945443272590637,-0.3895443081855774,11
PPO,10,36.826612376468994,3.071779251098633,1.6887792348861694,22
PPO,11,-18.50820373603603,-0.958236575126648,-0.7852365970611572,15
PPO,12,7.137491262679829,-0.0021818901877850294,0.3028181195259094,22
PPO,13,4.008140005276917,-1.209949016571045,0.1700509786605835,16
PPO,14,32.31696140118115,2.0717928409576416,1.4307928085327148,22
PPO,15,53.99095225735183,2.283032178878784,2.4360321760177612,22
PPO,16,41.71810547973211,2.7909493446350098,1.7699493169784546,22
PPO,17,32.25559839953918,2.9315245151519775,1.5195245742797852,22
PPO,18,3.5796800604474925,-0.437127023935318,0.15187296271324158,11
PPO,19,28.21967951624502,1.1702595949172974,1.197259545326233,22
PPO,20,26.271159059943923,2.808590888977051,1.1145908832550049,22
PPO,21,-9.181647396354803,-0.9945443272590637,-0.3895443081855774,11
PPO,22,30.627920827527266,3.037620782852173,1.4526207447052002,22
PPO,23,9.280376388991574,1.0697330236434937,0.39373302459716797,18
PPO,24,25.2411349291398,1.6625889539718628,1.183588981628418,22
PPO,25,5.992046955587762,0.9182209968566895,0.25422102212905884,22
PPO,26,55.29875151529427,3.25612735748291,2.3461272716522217,22
PPO,27,34.22354152852907,2.987372875213623,1.4863728284835815,22
PPO,28,33.62848984293305,1.2714554071426392,1.484455406665802,22
PPO,29,23.79608667620034,-0.6902173161506653,1.0607826709747314,22
PPO,30,14.850369018276096,-1.3399522304534912,0.6300477981567383,15
PPO,31,3.9582587710346013,-0.030065296217799187,0.16793470084667206,3
PPO,32,15.273080725579831,-0.40069007873535156,0.6933099031448364,22
PPO,33,9.929277698035,0.5732635855674744,0.42126357555389404,22
PPO,34,37.29678575971712,2.7122724056243896,1.6442724466323853,22
PPO,35,17.48692834714784,0.9599075317382812,0.74190753698349,22
PPO,36,3.829669285093816,0.8087431788444519,0.586743175983429,6
PPO,37,-20.70574533452637,-0.9204703569412231,-0.8784703612327576,22
PPO,38,-12.854960193006626,-1.407389760017395,-0.5453897714614868,16
PPO,39,34.67868523576191,3.7256457805633545,1.7856457233428955,22
PPO,40,56.91659049813251,3.5335886478424072,2.4415886402130127,22
PPO,41,25.603786192093118,2.360276699066162,1.086276650428772,22
PPO,42,-10.0,-2.1410000324249268,0.0,1
PPO,43,47.63241527319516,3.891500473022461,2.1605005264282227,22
PPO,44,30.829562589962986,1.7642313241958618,1.3192312717437744,19
PPO,45,29.83963848556336,1.184792399406433,1.2667924165725708,22
PPO,46,20.718634784635938,1.89388906955719,0.9108890891075134,22
PPO,47,-10.0,-0.12399999797344208,0.0,1
PPO,48,14.21755410763806,0.504199743270874,0.6031997203826904,22
PPO,49,27.08196597281072,3.9605214595794678,1.2345213890075684,14
PPO,50,-7.816630389157728,0.7943685054779053,-0.33163154125213623,22
PPO,51,27.272724123902258,1.66408371925354,1.1570837497711182,22
PPO,52,-4.172987459126345,-0.6287807822227478,0.24721920490264893,2
PPO,53,42.17608718460099,3.2623798847198486,1.7893798351287842,22
PPO,54,22.641959854897216,1.095248818397522,0.9892488121986389,22
PPO,55,-10.0,0.6940000057220459,0.0,1
PPO,56,17.47733010484695,1.352500319480896,0.7415003180503845,22
PPO,57,19.205799055282778,1.3178330659866333,0.8148330450057983,22
PPO,58,10.19514563802152,0.1325433850288391,0.43254339694976807,22
PPO,59,41.06126921417276,3.0948057174682617,1.8348057270050049,22
PPO,60,24.991821678637166,1.1743131875991821,1.0603132247924805,18
PPO,61,27.911118113775633,1.9456692934036255,1.2486692667007446,22
PPO,62,34.51372830994264,2.010293483734131,1.4642934799194336,22
PPO,63,20.745980823457295,1.0341774225234985,0.8801774382591248,22
PPO,64,-10.0,-0.3970000147819519,0.0,1
PPO,65,36.635743458348934,2.3833229541778564,1.5543229579925537,22
PPO,66,18.951115483996098,0.7540277242660522,0.8040277361869812,7
PPO,67,12.74402406814615,-0.5863168239593506,0.5406831502914429,22
PPO,68,5.89269348714556,0.5340058207511902,0.2500058114528656,22
PPO,69,20.715622799698636,2.4128894805908203,0.8788894414901733,22
PPO,70,20.48156719113186,2.0755603313446045,0.9165602922439575,22
PPO,71,-17.122206378873965,-0.3144336938858032,-0.7264336943626404,22
PPO,72,5.983648493574493,0.9678646922111511,0.25386470556259155,2
PPO,73,16.064799550428596,3.08657169342041,0.6815717220306396,22
PPO,74,11.909259371854533,-0.747732937335968,0.5052670836448669,18
PPO,75,25.995812293727294,1.2649089097976685,1.1029088497161865,22
PPO,76,40.47428724517163,2.8252875804901123,1.8052875995635986,22
PPO,77,24.778798159761077,1.6992753744125366,1.051275372505188,22
PPO,78,61.19005615394511,3.768587112426758,2.703587055206299,22
PPO,79,12.336385368928585,1.8673884868621826,0.5233885049819946,20
PPO,80,33.1652313526306,2.0690460205078125,1.4960460662841797,22
