time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
456,7,119,948,-9.181402639999998,1.89,,,,,,,
460,7,119,953,-9.11070618,1.81,,,,,,,
464,7,119,958,-9.07882837,1.8,,,,,,,
468,8,119,966,-8.914972,1.81,,,,,,,
472,8,120,973,-8.97513845,1.78,,,,,,,
476,8,120,980,-8.99718368,1.8,,,,,,,
480,8,120,985,-9.0192032,1.76,,,,,,,
484,8,120,989,-8.74746012,1.69,,,,,,,
488,8,121,995,-8.80661763,1.68,,,,,,,
492,8,121,1000,-8.922103420000001,1.66,,,,,,,
496,8,121,1006,-8.88839983,1.66,,,,,,,
500,8,121,1013,-9.04605223,1.59,,,,,,,
504,8,121,1022,-8.99589968,1.59,,,,,,,
508,8,121,1028,-9.04663214,1.6,,,,,,,
512,8,121,1039,-9.039982179999999,1.67,,,,,,,
516,8,121,1049,-9.09046291,1.68,,,,,,,
520,8,121,1055,-9.11957256,1.69,,,,,,,
524,8,122,1061,-9.20300185,1.67,,,,,,,
528,8,122,1072,-9.18919414,1.73,,,,,,,
532,8,122,1082,-9.14301568,1.72,,,,,,,
536,8,122,1087,-9.149077929999999,1.69,,,,,,,
540,8,122,1092,-9.181073609999999,1.68,,,,,,,
544,8,122,1101,-9.170474379999998,1.7,,,,,,,
548,9,122,1107,-9.17414868,1.68,,,,,,,
552,9,123,1113,-9.17567782,1.69,,,,,,,
556,9,123,1120,-9.08710512,1.72,,,,,,,
560,9,123,1128,-9.0568424,1.75,,,,,,,
564,9,123,1138,-9.05561689,1.8,,,,,,,
568,9,123,1143,-9.064945139999999,1.77,,,,,,,
572,9,123,1150,-9.03167851,1.77,,,,,,,
576,9,123,1158,-8.977212770000001,1.78,,,,,,,
580,9,123,1163,-8.97280573,1.78,,,,,,,
584,9,123,1167,-8.87280573,1.78,,,,,,,
588,9,123,1177,-8.609144359999998,1.82,,,,,,,
592,9,123,1183,-8.564977260000001,1.83,,,,,,,
596,9,124,1188,-8.58719741,1.82,,,,,,,
600,9,124,1194,-8.555941650000001,1.81,,,,,,,
604,9,124,1203,-8.57864044,1.81,,,,,,,
608,9,124,1212,-8.60778955,1.84,,,,,,,
612,9,124,1218,-8.59155599,1.79,,,,,,,
616,9,124,1225,-8.54155259,1.76,,,,,,,
620,9,124,1237,-8.345260450000001,1.82,,,,,,,
624,10,124,1247,-8.4159978,1.86,,,,,,,
628,10,124,1256,-8.463921169999999,1.84,,,,,,,
632,10,124,1264,-8.60375626,1.82,,,,,,,
636,10,124,1271,-8.527894830000001,1.84,,,,,,,
640,10,124,1275,-8.43881736,1.83,,,,,,,
644,10,124,1281,-8.48508064,1.8,,,,,,,
648,10,124,1291,-8.52130098,1.84,,,,,,,
652,10,124,1298,-8.355146829999999,1.85,,,,,,,
656,10,124,1310,-8.496814270000002,1.9,,,,,,,
660,10,125,1314,-8.61242101,1.86,,,,,,,
664,10,125,1319,-8.716897289999999,1.81,,,,,,,
668,10,125,1323,-8.84250987,1.8,,,,,,,
672,10,125,1328,-8.83068467,1.78,,,,,,,
676,10,125,1335,-8.847635649999999,1.77,,,,,,,
680,10,125,1341,-8.801273349999999,1.78,,,,,,,
684,10,125,1351,-8.9942552,1.84,,,,,,,
688,10,125,1359,-9.05057902,1.82,,,,,,,
692,10,126,1367,-8.89123086,1.84,,,,,,,
696,10,126,1373,-8.87317892,1.85,,,,,,,
700,10,126,1381,-8.73625511,1.87,,,,,,,
704,11,126,1391,-8.67175383,1.88,,,,,,,
708,11,126,1396,-8.445465310000001,1.84,,,,,,,
712,11,126,1402,-8.41679405,1.84,,,,,,,
716,11,126,1407,-8.40748307,1.82,,,,,,,
720,11,126,1416,-8.583124770000001,1.79,,,,,,,
724,11,126,1420,-8.552207249999999,1.73,,,,,,,
728,11,127,1424,-8.5580402,1.68,,,,,,,
732,11,127,1435,-8.66522336,1.71,,,,,,,
736,11,127,1442,-8.83770265,1.71,,,,,,,
740,11,124,1457,-8.9041047,1.82,,,,,,,
744,11,125,1461,-8.966944040000001,1.8,,,,,,,
748,11,125,1465,-8.82069408,1.74,,,,,,,
752,11,125,1471,-9.0588074,1.73,,,,,,,
756,11,125,1479,-8.94174058,1.69,,,,,,,
760,11,124,1490,-8.87530691,1.76,,,,,,,
764,12,124,1500,-8.782549660000003,1.81,,,,,,,
768,12,124,1510,-8.728276270000002,1.87,,,,,,,
772,12,125,1516,-8.68887319,1.88,,,,,,,
776,12,125,1524,-8.704864800000001,1.89,,,,,,,
780,12,125,1534,-8.7222015,1.93,,,,,,,
784,12,125,1540,-8.48899625,1.89,,,,,,,
788,12,125,1553,-8.62999464,1.94,,,,,,,
792,12,124,1568,-8.716330390000001,2.01,,,,,,,
796,12,124,1572,-8.69568812,1.99,,,,,,,
800,12,124,1581,-8.82967552,2.0,,,,,,,
804,12,124,1590,-8.69183159,1.99,,,,,,,
808,12,124,1598,-8.660078330000001,2.02,,,,,,,
812,12,124,1606,-8.70377063,2.04,,,,,,,
816,12,124,1611,-8.72515235,2.04,,,,,,,
820,12,124,1618,-8.71623703,2.02,,,,,,,
824,13,124,1627,-8.59762013,2.07,,,,,,,
828,13,124,1631,-8.597620130000001,2.07,,,,,,,
832,13,124,1637,-8.57453654,2.02,,,,,,,
836,13,124,1646,-8.53610369,2.04,,,,,,,
840,13,125,1650,-8.56970164,1.93,,,,,,,
844,13,124,1664,-8.420456770000001,2.03,,,,,,,
848,13,124,1670,-8.5524506,2.05,,,,,,,
852,13,124,1676,-8.299951020000002,2.05,,,,,,,
856,13,124,1681,-8.34804383,2.02,,,,,,,
860,13,124,1689,-8.345280070000001,1.99,,,,,,,
864,13,124,1695,-8.47209439,1.95,,,,,,,
868,13,125,1699,-8.526367780000001,1.89,,,,,,,
872,13,124,1717,-8.513258169999999,2.01,,,,,,,
876,13,124,1723,-8.48036186,1.99,,,,,,,
880,13,124,1730,-8.518533029999999,1.96,,,,,,,
884,13,124,1737,-8.60730728,1.97,,,,,,,
888,14,124,1750,-8.638916770000002,1.97,,,,,,,
892,14,124,1754,-8.77917509,1.86,,,,,,,
896,14,124,1761,-8.71247483,1.89,,,,,,,
900,14,124,1767,-8.897041029999999,1.86,,,,,,,
