episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem,mean_action_usage
11,7.79289323091507,17,-1.1463080644607544,-0.222,-1.3683080673217773,"[-0.9800776243209839, -0.7678865194320679, -0.8704496622085571, -0.9907608032226562, -0.26865947246551514, 0.571677565574646, 0.7850437760353088, 0.98195481300354, -0.3014279901981354, -0.585731029510498, -0.7562381625175476, 0.9947133660316467, -0.5676760673522949, -0.8578879833221436, -0.3828166723251343, 0.9323538541793823, 0.08777786046266556]"
12,10.219389617443085,5,0.3041038513183594,-2.246,-1.9418962001800537,"[-0.9822290539741516, -0.9989639520645142, -0.9878321886062622, -0.9976787567138672, 0.9892585873603821, 0.9977506399154663, 0.9999906420707703, 0.9984887838363647, -0.961105227470398, -0.9999925494194031, -0.698699951171875, 0.9985727071762085, -0.9999961853027344, -0.9963716268539429, 0.9999994039535522, 0.9998963475227356, 0.9995395541191101]"
13,-12.582758801989257,22,0.04935336112976074,1.529,1.5783534049987793,"[0.9851673245429993, -0.9887552857398987, -0.6479321122169495, 0.9628076553344727, 0.9935646653175354, 0.4788637161254883, 0.28288066387176514, 0.6776702404022217, 0.02596893720328808, -0.653344988822937, 0.5260607004165649, 0.9613414406776428, -0.8410152196884155, -0.1698824167251587, -0.999013364315033, -0.9999743103981018, -0.01529986783862114]"
14,-12.00474407011643,10,0.10195255279541016,1.278,1.3799525499343872,"[0.6627098321914673, -0.9991186857223511, -0.8669538497924805, 0.5197442770004272, 0.9937022924423218, 0.6419692635536194, 0.9779692888259888, 0.9685589075088501, 0.3559747338294983, -0.3675658106803894, -0.5470789670944214, 0.9985849261283875, -0.9746594429016113, -0.32032346725463867, -0.9995753169059753, -0.9724918603897095, 0.12390327453613281]"
15,14.417251110076904,3,-0.02882087230682373,-1.653,-1.6818208694458008,"[0.5957515239715576, -0.8180887699127197, -0.9992519021034241, -0.9982771873474121, 0.9822201728820801, -0.9999966621398926, 0.9053671956062317, 0.9960443377494812, -0.9999976754188538, -0.9976097941398621, 0.9952576756477356, 0.99993896484375, -0.9981252551078796, 0.2338358610868454, 0.15543778240680695, 0.6521480083465576, 0.905859649181366]"
16,30.814047127962112,15,0.13334882259368896,1.106,1.2393487691879272,"[-0.9870458245277405, -0.1667155623435974, -0.9956958293914795, -0.9894684553146362, 0.888835072517395, -0.9940492510795593, 0.6983661651611328, 0.9951225519180298, -0.9968022108078003, -0.9672228097915649, 0.9153540730476379, 0.999526858329773, -0.9987741708755493, -0.495648592710495, -0.9799314141273499, 0.9870908260345459, 0.9922060370445251]"
17,38.31120980530977,22,1.0662989616394043,1.973,3.0392990112304688,"[-0.9741799831390381, -0.25224125385284424, -0.9747890830039978, -0.9935724139213562, 0.9271764755249023, 0.2754060626029968, 0.37504199147224426, 0.9869623184204102, -0.9956324100494385, -0.9979867935180664, 0.7549939751625061, 0.9871770739555359, -0.3144265413284302, -0.26246267557144165, 0.9986744523048401, 0.9997806549072266, 0.9962417483329773]"
18,41.03397493995726,22,-0.13356924057006836,0.253,0.11943074315786362,"[-0.40891650319099426, -0.9409958124160767, -0.9810153841972351, -0.9920375347137451, 0.9906206130981445, -0.9374402761459351, 0.9996942281723022, 0.996485710144043, -0.9915016293525696, -0.9985246658325195, 0.9904228448867798, 0.9995812773704529, -0.9982411861419678, -0.2792866826057434, -0.9518808722496033, 0.8997817635536194, 0.22761297225952148]"
19,11.800912568345666,22,-0.26409387588500977,-0.3,-0.5640938878059387,"[-0.697052538394928, -0.8431491851806641, -0.9680822491645813, -0.9642517566680908, -0.899592399597168, 0.10106304287910461, 0.5643031001091003, 0.958117663860321, -0.7601680159568787, -0.858034074306488, 0.2802947759628296, 0.8662878274917603, -0.27068212628364563, -0.26079246401786804, -0.9983358383178711, 0.8453171253204346, 0.5688084959983826]"
20,30.80678654462099,22,0.5327931046485901,-1.031,-0.4982069134712219,"[-0.908281683921814, 0.34213730692863464, -0.5452129244804382, -0.9788876175880432, 0.39249756932258606, 0.6134229302406311, 0.3439696133136749, 0.961374044418335, -0.972466230392456, -0.8176735043525696, 0.39178115129470825, 0.7491538524627686, -0.2167329639196396, -0.05511507764458656, 0.8524314761161804, 0.9993124008178711, 0.9879205226898193]"
21,4.9427916295826435,22,2.164534568786621,0.544,2.7085347175598145,"[0.941660463809967, -0.9912664294242859, -0.44672438502311707, 0.6974672079086304, 0.9996492266654968, -0.8511146306991577, 0.9818125367164612, 0.5103786587715149, -0.3032643496990204, -0.47019898891448975, 0.9074857234954834, 0.9973044991493225, -0.997452974319458, -0.2880193293094635, -0.9965551495552063, -0.7948718667030334, 0.8304223418235779]"
22,19.32423819694668,22,-0.5338473320007324,1.986,1.4521526098251343,"[-0.9826681017875671, -0.9332284331321716, -0.9352148175239563, -0.9651948809623718, 0.9955281615257263, -0.20074158906936646, 0.9892975091934204, 0.9931029677391052, -0.9877477884292603, -0.9999641180038452, 0.8902431726455688, 0.9909350872039795, -0.9931368231773376, -0.9965431690216064, -0.5968611240386963, 0.9155845046043396, 0.9936088919639587]"
23,21.94446316268295,22,0.5432791709899902,1.102,1.6452791690826416,"[-0.869462251663208, -0.9693885445594788, -0.9340071082115173, -0.998909592628479, 0.7998822927474976, -0.7874610424041748, 0.7806837558746338, 0.9854724407196045, -0.9803150296211243, -0.9395098090171814, 0.1628238409757614, 0.9964302182197571, -0.9479683041572571, 0.5714619159698486, 0.8057460784912109, 0.8704854846000671, 0.8329740166664124]"
24,-1.652881383895874,5,-0.16836178302764893,1.247,1.0786381959915161,"[0.9999873042106628, -0.9734781384468079, -0.9999683499336243, -0.5949662327766418, -0.6314443349838257, -0.6093000173568726, -0.9974476099014282, 0.8527463674545288, -0.9977061152458191, -0.992993175983429, 0.7953189611434937, 0.9990200996398926, -0.8753385543823242, 0.22327375411987305, 0.7583661675453186, -0.9906893968582153, 0.4146631360054016]"
25,38.03531575202942,22,0.5238854885101318,0.727,1.2508854866027832,"[-0.9863040447235107, -0.9903916716575623, -0.9983544945716858, -0.9997533559799194, 0.97186279296875, -0.957333505153656, 0.9985398650169373, 0.9952153563499451, -0.9882645010948181, -0.8944772481918335, -0.3648987114429474, 0.9968021512031555, -0.9997054934501648, 0.8285737633705139, -0.7997404336929321, 0.731691300868988, 0.9960590600967407]"
26,12.830447673797607,2,0.19905522465705872,-0.69,-0.4909447729587555,"[-0.9923882484436035, -0.9925620555877686, -0.4531809091567993, -0.9913194179534912, 0.9990518689155579, 0.9607596397399902, 0.249866783618927, 0.9971461892127991, -0.9983494281768799, -0.9999938011169434, 0.7806704044342041, 0.989492654800415, -0.8623399138450623, -0.9999982118606567, 0.9859275817871094, 0.9846698641777039, 0.9998827576637268]"
27,1.6091609075665474,14,0.34533581137657166,0.097,0.4423358142375946,"[-0.962802529335022, -0.7565032243728638, 0.5645828247070312, -0.1284150332212448, 0.8642129302024841, 0.9300981163978577, -0.07688852399587631, 0.9972987771034241, -0.20011140406131744, -0.7700732350349426, -0.7198768258094788, 0.8799054026603699, -0.7249840497970581, -0.9884516000747681, -0.7744676470756531, -0.9996547102928162, 0.9110093116760254]"
28,-17.47345843911171,22,0.19764554500579834,1.102,1.2996455430984497,"[0.689523458480835, -0.9932569861412048, -0.7525217533111572, -0.5015758275985718, 0.9974523186683655, 0.32296261191368103, 0.900459885597229, 0.8733457922935486, -0.9823513627052307, -0.44484689831733704, 0.9886112213134766, 0.9980875253677368, -0.992306649684906, 0.5046224594116211, -0.9987325668334961, 0.5799562931060791, 0.6322478652000427]"
29,18.278689235448837,22,0.21153157949447632,-0.57,-0.3584684133529663,"[0.9946983456611633, -0.9769201874732971, -0.9984857439994812, -0.9871295690536499, 0.9624990820884705, 0.5087915062904358, 0.5437747240066528, 0.9976182579994202, -0.6651161909103394, -0.9981477856636047, -0.8653591275215149, 0.9976158142089844, -0.9996357560157776, 0.9127527475357056, 0.9792112708091736, -0.9957937002182007, -0.95517498254776]"
30,41.14737105369568,22,1.5377136170864105,0.262,1.7997136116027832,"[-0.7814323902130127, -0.9488419890403748, -0.9602575898170471, -0.998930037021637, 0.9996727108955383, -0.8774682879447937, 0.8527851700782776, 0.9924985766410828, -0.9678531885147095, -0.9984726309776306, 0.6474195718765259, 0.9955112338066101, -0.9912510514259338, -0.048976000398397446, -0.650536835193634, 0.825407087802887, 0.7998725771903992]"
31,17.191539600491524,13,-0.09181958436965942,0.631,0.5391803979873657,"[-0.8619544506072998, -0.19230365753173828, -0.9971278309822083, -0.999322772026062, 0.9259722232818604, -0.7818438410758972, -0.8510878682136536, 0.8685593008995056, -0.9982651472091675, -0.9763550162315369, 0.7272316217422485, 0.9603424072265625, -0.2073553204536438, 0.03695794194936752, -0.6156170964241028, 0.9370235204696655, 0.9672656655311584]"
32,17.5053953230381,10,-1.0496975183486938,1.122,0.0723024383187294,"[0.8895518183708191, 0.6406345963478088, -0.9498931169509888, -0.9713765978813171, -0.4625336229801178, -0.9982520937919617, -0.3320748209953308, 0.982948899269104, -0.9910049438476562, -0.6089345216751099, -0.7078969478607178, 0.9945392608642578, -0.9996970295906067, -0.9276876449584961, 0.9345456957817078, -0.7536407709121704, 0.9994179606437683]"
33,10.03977213613689,22,-0.7763757705688477,-1.084,-1.8603757619857788,"[0.9998616576194763, -0.9996116161346436, 0.30249980092048645, 0.993116021156311, 0.9990411996841431, -0.9996368885040283, 0.9637889862060547, 0.8886815905570984, -0.417377769947052, -0.42616426944732666, 0.991816520690918, 0.9773659110069275, -0.9978773593902588, -0.5093824863433838, -0.9574615359306335, -0.9341669082641602, 0.9877557754516602]"
34,9.586774848401546,22,0.12124127149581909,-0.82,-0.6987587213516235,"[-0.10153757780790329, -0.9783289432525635, -0.9866607785224915, -0.998256266117096, 0.9948580265045166, 0.2886490821838379, 0.8979631066322327, 0.9922196865081787, 0.13281406462192535, -0.9997308254241943, -0.9536810517311096, 0.9987337589263916, -0.9990290999412537, -0.7497350573539734, 0.9961723685264587, 0.9620510339736938, 0.9754283428192139]"
35,19.381529107689857,15,-0.32862743735313416,-0.405,-0.733627438545227,"[-0.9935348033905029, -0.13793444633483887, -0.9731501936912537, -0.9887588024139404, 0.9975219964981079, -0.8200626373291016, 0.8565722107887268, 0.9963669180870056, -0.998130202293396, -0.9950488805770874, 0.9582278728485107, 0.9931492209434509, -0.9924012422561646, -0.6870769262313843, -0.6679185628890991, 0.9974831342697144, 0.9762536287307739]"
36,-0.6886312663555145,22,-0.5316540002822876,-0.752,-1.283653974533081,"[0.6085143685340881, -0.9890802502632141, -0.4325390160083771, -0.05953625217080116, 0.9007801413536072, 0.4557090997695923, 0.867926836013794, 0.9367228150367737, -0.514485776424408, -0.6806566715240479, 0.9238097667694092, 0.9854570031166077, -0.9037336707115173, -0.6210877299308777, -0.9922983050346375, -0.8870376348495483, -0.3220348060131073]"
37,6.783716201782227,3,-0.05725426971912384,-0.188,-0.2452542632818222,"[0.09894845634698868, 0.5569583773612976, -0.9886348843574524, -0.9951083064079285, -0.1383231282234192, -0.9989212155342102, 0.977400004863739, 0.9851269721984863, -0.9979934096336365, -0.8676719665527344, -0.5132870078086853, 0.9909834861755371, -0.9992573261260986, -0.7312033772468567, 0.910460889339447, -0.308339923620224, 0.9826701283454895]"
38,6.783716201782227,3,0.26647984981536865,-1.095,-0.8285201787948608,"[0.09889757633209229, 0.5568814873695374, -0.9886348843574524, -0.9951086044311523, -0.1382247805595398, -0.9989210963249207, 0.9773995280265808, 0.9851279854774475, -0.9979932904243469, -0.8676724433898926, -0.5132505297660828, 0.9909834861755371, -0.9992573261260986, -0.7311784625053406, 0.9104403853416443, -0.308384507894516, 0.9826686382293701]"
39,32.10610335506499,12,0.2822098731994629,-1.436,-1.1537901163101196,"[-0.9553763270378113, -0.08866190910339355, -0.8511030077934265, -0.9932562708854675, 0.9842102527618408, -0.8521993160247803, 0.04770711436867714, 0.9852308630943298, -0.9998945593833923, -0.9989206790924072, 0.9978726506233215, 0.9944654107093811, -0.7859974503517151, -0.436490923166275, 0.9585616588592529, 0.9999396800994873, 0.9966063499450684]"
40,26.946800933219492,14,-1.0205695033073425,0.245,-0.775569498538971,"[-0.01918184757232666, -0.6530526280403137, -0.11309628188610077, -0.910440981388092, -0.9984942078590393, -0.23541177809238434, 0.05743924528360367, 0.8532277345657349, -0.9986096620559692, -0.9999931454658508, 0.9999595880508423, -0.3447858393192291, 0.1656693071126938, 0.7441471815109253, -0.34829479455947876, 0.7557603120803833, 0.9946677088737488]"
41,15.011265978217125,22,1.43267023563385,0.972,2.404670238494873,"[-0.9930399060249329, -0.8459369540214539, -0.9790422320365906, -0.9983527660369873, 0.7705686688423157, 0.9591946005821228, 0.9207084774971008, 0.9855195879936218, -0.658331573009491, -0.580321729183197, -0.975111186504364, 0.9851855635643005, -0.9991565346717834, -0.9510412812232971, -0.0402698740363121, 0.8876705765724182, 0.9986609816551208]"
42,-4.607448577880859,3,0.1685228943824768,0.797,0.9655228853225708,"[0.9834213256835938, -0.8724659085273743, -0.6411635279655457, 0.8588880896568298, 0.9946486353874207, 0.11950844526290894, 0.06258156150579453, -0.03907259181141853, -0.9582521319389343, -0.2210971862077713, 0.9998307228088379, 0.9859634041786194, -0.9779109358787537, 0.8453612923622131, -0.994625985622406, -0.895943820476532, 0.6896277070045471]"
43,4.428326167166233,14,0.8596248030662537,-0.216,0.6436247825622559,"[-0.17975695431232452, -0.9989494681358337, -0.5424844622612, 0.8682583570480347, 0.812076985836029, -0.018773475661873817, 0.9915817379951477, 0.9100612998008728, 0.7856118083000183, -0.5026280879974365, 0.9064768552780151, 0.9927213788032532, -0.9668986201286316, -0.9049263000488281, -0.9991151094436646, 0.6789072751998901, -0.18963882327079773]"
44,21.3577438890934,22,0.5235306620597839,0.048,0.5715306401252747,"[-0.7815479040145874, -0.9994434118270874, -0.9784316420555115, -0.9995449185371399, 0.9980311989784241, 0.4361149072647095, 0.9994080066680908, 0.9991523623466492, -0.661786675453186, -0.9783679842948914, 0.003439873456954956, 0.9986281991004944, -0.9980732202529907, -0.15086466073989868, -0.9997192025184631, 0.14870624244213104, -0.80367511510849]"
45,-6.065847232937813,16,-1.007014513015747,-0.222,-1.22901451587677,"[-0.7138288617134094, -0.9992812275886536, -0.9990711212158203, -0.8070767521858215, 0.22709596157073975, 0.5188795328140259, 0.9799623489379883, 0.992398738861084, 0.592517614364624, -0.7319108843803406, -0.6452549695968628, 0.9918575286865234, -0.9972259402275085, -0.9992068409919739, -0.991021454334259, -0.04842096567153931, 0.9721963405609131]"
46,15.467944167554379,22,0.3376004695892334,-0.97,-0.6323995590209961,"[-0.9985395669937134, -0.6491281986236572, -0.9583284258842468, -0.9867693185806274, 0.9988813400268555, -0.8968633413314819, 0.9342542290687561, 0.9907925128936768, -0.9837132096290588, -0.9873217940330505, 0.8374237418174744, 0.9972688555717468, -0.9956458806991577, -0.47578659653663635, 0.11067655682563782, 0.9998560547828674, 0.994912326335907]"
47,8.01333874464035,6,0.39412009716033936,-1.192,-0.7978799343109131,"[0.9345914721488953, -0.9138262867927551, 0.9911618232727051, 0.9999931454658508, 0.9186926484107971, -0.09584590792655945, 0.9455412030220032, 0.817328929901123, 0.9417774081230164, -0.6910725235939026, 0.9753270745277405, -0.17079602181911469, -0.933365523815155, -0.9938089847564697, -0.9986598491668701, -0.9997469782829285, 0.7772493362426758]"
48,2.970543622970581,2,0.3935014307498932,-0.695,-0.30149856209754944,"[0.9783307313919067, -0.9541028738021851, -0.5184093713760376, 0.6090841293334961, 0.9988499283790588, 0.669231116771698, 0.26586806774139404, 0.7736384272575378, -0.9723045825958252, -0.6775884628295898, 0.9985240697860718, 0.9915316104888916, -0.9672389030456543, 0.29284191131591797, -0.9931554794311523, -0.9991186857223511, 0.047881513833999634]"
49,8.117694616317749,3,0.39623093605041504,-1.182,-0.7857691049575806,"[-0.15102209150791168, 0.22896678745746613, -0.9982445240020752, -0.9988619685173035, -0.9756584167480469, -0.9707503318786621, 0.9984495639801025, 0.9947908520698547, -0.9049795269966125, -0.9097774028778076, -0.9742488265037537, 0.9995126724243164, -0.9999527335166931, -0.9928597807884216, 0.7121935486793518, -0.3030237555503845, 0.9990336894989014]"
50,-2.5168635845184326,2,0.32482343912124634,-0.145,0.17982345819473267,"[0.9970971345901489, -0.9953012466430664, -0.6253913044929504, -0.20858481526374817, 0.9990174174308777, -0.842491626739502, 0.9435338377952576, 0.159906268119812, -0.9681217670440674, -0.4102090001106262, 0.9955253601074219, 0.9980432987213135, -0.9949991703033447, 0.048472821712493896, -0.9953410625457764, -0.964160680770874, 0.8682525157928467]"
