episode,reward,length,adni_mem_change,initial_adni_mem,final_adni_mem,mean_action_usage
1,-13.120111517608166,13,1.0331918001174927,0.696,1.729191780090332,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2,-4.986136049032211,11,1.1517767906188965,0.695,1.8467768430709839,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
3,-29.603550352156162,22,0.5285096764564514,0.048,0.5765096545219421,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
4,40.08409744501114,22,2.537780284881592,0.936,3.4737801551818848,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.4545454680919647, 0.0, 1.0]"
5,19.118973195552826,17,1.6080690026283264,0.792,2.400068998336792,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.1764705926179886, 0.0, 0.0, 1.0]"
6,8.801128923892975,20,1.2089240550994873,-0.408,0.8009241223335266,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
7,10.0,1,0.0,-0.602,-0.6019999980926514,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]"
8,-0.3129543699324131,22,2.587526321411133,0.827,3.4145264625549316,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
9,2.29634340852499,15,-0.26299458742141724,1.126,0.8630054593086243,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
10,35.587188528850675,22,-0.5387313365936279,0.372,-0.1667313277721405,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.9090909361839294, 1.0]"
11,7.027101669460535,22,0.7764860987663269,0.048,0.8244860768318176,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.3181818127632141, 0.0, 1.0]"
12,41.766405895352364,22,0.9967408180236816,0.275,1.2717407941818237,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.8636363744735718, 0.0, 1.0]"
13,38.0808025225997,22,0.9409451484680176,1.086,2.026945114135742,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
14,15.227235674858093,4,-0.4336838722229004,-1.596,-2.029683828353882,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
15,-5.924385683611035,22,0.1412341594696045,1.579,1.7202341556549072,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
16,7.525831237435341,10,0.055607035756111145,-0.264,-0.20839296281337738,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.10000000149011612, 0.0, 0.0, 1.0]"
17,47.36387798935175,22,0.04601028561592102,0.319,0.3650102913379669,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.6818181872367859, 1.0]"
18,16.211746394634247,22,1.8532296419143677,1.659,3.5122296810150146,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
19,26.539122936315835,22,2.4722862243652344,1.11,3.5822863578796387,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.9545454382896423, 0.0, 1.0]"
20,-9.361107230186462,4,0.6534351110458374,0.546,1.1994351148605347,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
21,-10.0,1,0.0,1.209,1.2089999914169312,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
22,15.937869474291801,22,0.7652580738067627,0.452,1.217258095741272,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
23,31.4214521124959,22,1.5902247428894043,0.968,2.558224678039551,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
24,-10.95010793209076,6,1.4918477535247803,1.664,3.1558477878570557,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
25,24.634618028998375,22,1.9362142086029053,1.3,3.2362141609191895,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.9545454382896423, 0.0, 1.0]"
26,14.106912478804588,22,1.6843096017837524,0.354,2.0383095741271973,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
27,22.72825464606285,22,-0.17504167556762695,2.316,2.140958309173584,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
28,2.089691058266908,22,0.07777035236358643,1.554,1.631770372390747,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
29,9.433320045471191,1,0.0,0.581,0.5809999704360962,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
30,41.949660778045654,22,1.2353483438491821,0.681,1.9163483381271362,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.7727272510528564, 1.0]"
31,26.428004659712315,22,0.07942429184913635,-0.34,-0.26057571172714233,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
32,7.038517663255334,22,0.32183486223220825,0.152,0.4738348722457886,"[0.0, 0.0, 0.0, 0.09090909361839294, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
33,42.36689141392708,22,0.7655744552612305,1.302,2.0675745010375977,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
34,3.1483310014009476,6,0.35942554473876953,-0.587,-0.22757446765899658,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
35,9.755326583981514,20,0.15754926204681396,0.944,1.1015492677688599,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]"
36,-2.8546974509954453,16,1.59196138381958,0.613,2.2049612998962402,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
37,6.049205243587494,21,0.8156328201293945,0.546,1.3616328239440918,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
38,11.139926079660654,12,-0.3583522439002991,-0.167,-0.5253522396087646,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
39,26.539122936315835,22,1.6011319160461426,1.338,2.93913197517395,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.9545454382896423, 0.0, 1.0]"
